payment_id,customer_id,staff_id,rental_id,amount,payment_date
17503,341,2,1520,7.99,25:47.0
17504,341,1,1778,1.99,23:15.0
17505,341,1,1849,7.99,41:46.0
17506,341,2,2829,2.99,39:57.0
17507,341,2,3130,7.99,31:49.0
17508,341,1,3382,5.99,33:50.0
17509,342,2,2190,5.99,58:18.0
17510,342,1,2914,5.99,11:45.0
17511,342,1,3081,2.99,57:40.0
17512,343,2,1547,4.99,10:51.0
17513,343,1,1564,6.99,15:34.0
17514,343,2,1879,0.99,26:01.0
17515,343,2,1922,0.99,32:52.0
17516,343,2,2461,6.99,26:39.0
17517,343,1,2980,8.99,03:30.0
17518,343,1,3407,0.99,42:29.0
17519,344,1,1341,3.99,54:45.0
17520,344,2,1475,4.99,36:28.0
17521,344,1,1731,0.99,00:39.0
17522,345,2,1210,0.99,26:18.0
17523,345,1,1457,4.99,34:16.0
17524,345,2,1550,0.99,27:02.0
17525,345,2,2766,4.99,13:42.0
17526,346,1,1994,5.99,35:33.0
17527,346,2,3372,2.99,02:46.0
17528,346,1,3421,2.99,51:25.0
17529,347,2,1711,8.99,40:19.0
17530,347,2,2274,0.99,59:42.0
17531,347,1,3026,4.99,16:27.0
17532,347,1,3092,8.99,33:09.0
17533,347,1,3326,7.99,33:17.0
17534,348,1,1654,2.99,11:15.0
17535,348,1,2041,8.99,47:27.0
17536,348,2,2499,0.99,30:03.0
17537,349,1,1197,2.99,11:13.0
17538,349,1,1523,0.99,47:07.0
17539,349,2,2987,6.99,24:17.0
17540,349,1,3067,8.99,27:48.0
17541,350,2,2011,3.99,24:36.0
17542,350,1,2619,0.99,31:39.0
17543,350,1,3079,2.99,42:07.0
17544,350,2,3206,0.99,08:06.0
17545,351,2,1792,5.99,33:17.0
17546,351,1,1869,0.99,36:27.0
17547,351,1,2759,2.99,38:51.0
17548,352,1,1498,0.99,26:27.0
17549,352,1,1649,4.99,49:00.0
17550,352,1,1678,4.99,36:55.0
17551,352,1,1780,4.99,40:12.0
17552,352,2,3331,4.99,06:20.0
17553,353,2,1359,2.99,58:57.0
17554,353,2,1928,7.99,16:58.0
17555,353,2,3233,6.99,07:58.0
17556,354,1,1491,0.99,16:45.0
17557,354,1,2275,4.99,59:56.0
17558,354,1,2769,6.99,20:41.0
17559,354,1,3139,2.99,13:12.0
17560,355,2,1488,0.99,08:21.0
17561,355,1,1612,2.99,20:32.0
17562,356,1,1410,0.99,28:13.0
17563,356,1,2405,2.99,05:05.0
17564,356,1,2433,4.99,38:44.0
17565,357,2,1246,5.99,39:46.0
17566,357,1,1788,1.99,15:45.0
17567,357,2,1971,1.99,52:26.0
17568,357,2,2153,6.99,26:31.0
17569,358,1,1455,2.99,19:33.0
17570,358,2,1908,0.99,39:03.0
17571,358,1,2114,5.99,28:52.0
17572,358,1,2721,2.99,21:51.0
17573,358,1,2749,2.99,56:02.0
17574,358,1,3245,2.99,34:38.0
17575,359,2,1329,4.99,53:33.0
17576,359,2,1770,1.99,36:22.0
17577,359,1,2401,0.99,50:30.0
17578,359,1,2736,4.99,11:47.0
17579,360,2,1492,0.99,17:02.0
17580,360,2,2402,6.99,53:12.0
17581,360,2,2541,3.99,36:37.0
17582,360,2,2780,6.99,48:00.0
17583,361,2,2353,4.99,21:52.0
17584,361,2,2558,1.99,37:43.0
17585,361,1,2851,2.99,35:30.0
17586,361,2,3303,2.99,02:41.0
17587,362,1,1429,2.99,52:37.0
17588,362,1,1529,2.99,06:02.0
17589,362,1,1615,2.99,28:55.0
